overall_neuron_index,layer,neuron_index_in_layer,weight,abs_weight,useless
156195,25,2595,-26.516415,26.516415,predicts_bad
167655,27,1767,26.441427,26.441427,predicts_good
166997,27,1109,-25.068096,25.068096,predicts_bad
148841,24,1385,-24.826242,24.826242,predicts_bad
171538,27,5650,24.502674,24.502674,predicts_good
171145,27,5257,24.466312,24.466312,predicts_good
155970,25,2370,23.673021,23.673021,predicts_good
144220,23,2908,-23.277636,23.277636,predicts_bad
167317,27,1429,23.1908,23.1908,predicts_good
170047,27,4159,-23.107615,23.107615,predicts_bad
169766,27,3878,22.8797,22.8797,predicts_good
138521,22,3353,22.62197,22.62197,predicts_good
157966,25,4366,-22.13029,22.13029,predicts_bad
132994,21,3970,21.99347,21.99347,predicts_good
162354,26,2610,-21.794155,21.794155,predicts_bad
166352,27,464,21.485874,21.485874,predicts_good
152585,24,5129,-21.314352,21.314352,predicts_bad
166191,27,303,-20.796711,20.796711,predicts_bad
146043,23,4731,-20.596006,20.596006,predicts_bad
155792,25,2192,20.419413,20.419413,predicts_good
159103,25,5503,-20.331741,20.331741,predicts_bad
169027,27,3139,-20.225567,20.225567,predicts_bad
154487,25,887,-20.188955,20.188955,predicts_bad
159643,25,6043,-19.823343,19.823343,predicts_bad
171244,27,5356,-19.786818,19.786818,predicts_bad
149481,24,2025,19.760757,19.760757,predicts_good
153963,25,363,19.73866,19.73866,predicts_good
158339,25,4739,19.691376,19.691376,predicts_good
167718,27,1830,-19.636518,19.636518,predicts_bad
156260,25,2660,-18.957607,18.957607,predicts_bad
